Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cntLootCrateSavageCountry_PickedUp,blocks,Container,,,Savage Country Box,,„Savage Country“ Box,Caja de Country Savage,"Boîte ""Savage Country""",Scatola Savage Country,Savage Countryの箱,Savage Country 상자,Savage Country — pudło,Caixa da Savage Country,Ящик «Savage Country»,Savage Country Kutusu,Savage Country 箱,Savage Country箱,Caja de Country Savage
cntLootCrateShamway_PickedUp,blocks,Container,,,Shamway Box,,Shamway-Kiste,Caja de Shamway,Caisse Shamway,Scatola di Shamway,シャムウェイボックス,샴웨이 상자,Pudło Shamway,Caixa de Shamway,Коробка «Срамвэй»,Shamway Kutusu,山威箱子,順威盒子,Caja de Shamway
cntLootCrateShotgunMessiah_PickedUp,blocks,Container,,,Gun Store Box,,Waffenladenkiste,Caja de tienda de armas,Caisse d'armurier,Scatola del negozio di armi,銃器庫ボックス,총포점 상자,Pudło ze sklepu z bronią,Caixa de Loja de Armas,Коробка из оружейного магазина,Silah Saklama Kutusu,枪支商店箱,槍械店盒子,Caja de tienda de armas
cntTrashCompactor_PickedUp,blocks,Container,,,Trash Compactor,,Abfallpresse,Compactador de basura,Compacteur à déchets,Tritarifiuti,ゴミ圧縮機,쓰레기 압축기,Zgniatarka śmieci,Compactador de Lixo,Уплотнитель мусора,Çöp Sıkıştırıcı,垃圾捣碎机,垃圾壓縮機,Compactador de basura
cntLootCrateWorkingStiffs_PickedUp,blocks,Container,,,Working Stiff Box,,Arbeiter-Kiste,Caja de la serie Working Stiff,Caisse Working Stiffs,Scatola di Working Stiff,低賃金ボックス,워킹 스니프 상자,Pudło Working Stiff,Caixa de Trabalhador,Коробка из магазина «Пролетарий»,Working Stiff Kutusu,劳动度日箱子,勞動者盒子,Caja de la serie Working Stiff
cntIceMachine_PickedUp,blocks,Container,,,Ice Machine,,Eismaschine,Máquina de hielo,Machine à glaçons,Macchina del ghiaccio,製氷機,얼음 제조기,Maszyna do lodu,Máquina de Gelo,Льдогенератор,Buz Makinesi,制冰机,製冰機,Máquina de hielo
cntRetroFridgeVer1Closed_PickedUp,blocks,Container,,,Retro Refrigerator,,Retro-Kühlschrank,Nevera retro,Réfrigérateur rétro,Frigorifero vintage,レトロ冷蔵庫,구식 냉장고,Staromodna lodówka,Geladeira Retrô,Большой ретро-холодильник,Retro Buzdolabı,复古冰箱,復古冰箱,Nevera retro
cntClothesRackWallPants_PickedUp,blocks,Container,,,Clothes Rack,,Kleiderständer,Perchero,Portant,Appendiabiti,洋服ラック,의상 선반,Drążek na ubrania,Arara de roupa,Вешалка для одежды,Ayaklı Elbise Askısı,衣架,吊衣架,Perchero
cntClothesShelfHalfJeans01_PickedUp,blocks,Container,,,Clothes Shelf,,Kleiderregal,Estantería para ropa,Étagère pour vêtements,Ripiano per abiti,洋服棚,의상 선반,Półka na ubrania,Estante de roupa,Полка для одежды,Elbise Rafı,衣服货架,置衣架,Estantería para ropa
cntClothesRackWallLongSleeve_PickedUp,blocks,Container,,,Clothes Rack,,Kleiderständer,Perchero,Portant,Appendiabiti,洋服ラック,의상 선반,Drążek na ubrania,Arara de roupa,Вешалка для одежды,Ayaklı Elbise Askısı,衣架,吊衣架,Perchero
cntClothesRackRoundPants_PickedUp,blocks,Container,,,Clothes Rack,,Kleiderständer,Perchero rectangular,Portant,Appendiabiti,洋服ラック,의상걸이대,Drążek na ubrania,Arara de roupa,Вешалка для одежды,Ayaklı Elbise Askısı,衣架,吊衣架,Perchero rectangular
cntMunitionsBoxArmySecure,blocks,Block,,,Army Munitions Box,,Armee-Munitionskasten,Caja de munición del ejército,Boîte de munitions militaire,Scatola di munizioni dell'esercito,弾薬ボックス（軍隊）,군수품 상자,Pudło z amunicją – wojskowe,Caixa de munições do exército,Армейская коробка со снаряжением,Askeri Cephane Kutusu,军用弹药盒,軍用彈藥盒,Caja de munición del ejército
cntMunitionsBoxArmy_PickedUp,blocks,Block,,,Army Munitions Box,,Armee-Munitionskasten,Caja de munición del ejército,Boîte de munitions militaire,Scatola di munizioni dell'esercito,弾薬ボックス（軍隊）,군수품 상자,Pudło z amunicją – wojskowe,Caixa de munições do exército,Армейская коробка со снаряжением,Askeri Cephane Kutusu,军用弹药盒,軍用彈藥盒,Caja de munición del ejército
cntMunitionsBox_PickedUp,blocks,Container,,,Munitions Box,,Munitionskasten,Caja de munición,Boîte de munitions,Scatola di munizioni,弾薬ボックス,군수품 상자,Pudło z amunicją,Caixa de Munições,Коробка со снаряжением,Cephane Kutusu,弹药盒,彈藥盒,Caja de munición
cntDumpster_PickedUp,blocks,Container,,,Dumpster,,Müllcontainer,Contenedor,Benne,Cassonetto,大型ごみ容器,대형 쓰레기통,Śmietnik,Depósito de Lixo,Мусорный контейнер,Çöplük,垃圾车,大垃圾箱,Contenedor
cntDumpsterFlies_PickedUp,blocks,Container,,,Dumpster,,Müllcontainer,Contenedor,Benne,Cassonetto,大型ごみ容器,대형 쓰레기통,Śmietnik,Depósito de Lixo,Мусорный контейнер,Çöplük,垃圾车,大垃圾箱,Contenedor
cntGasPumpFull_PickedUp,blocks,Block,,,Gas Pump,,Zapfsäule,Bomba de gasolina,Pompe à essence,Pompa di benzina,ガソリンポンプ,가스 펌프,Dystrybutor paliwa,Bomba de combustível,Насос для топлива,Benzin Pompası,气泵,燃氣泵,Bomba de gasolina
cntSecureStorageChest_PickedUp,blocks,Container,,,Secure Storage Chest,,Gesicherte Aufbewahrungstruhe,Cofre de almacenamiento seguro,Coffre de rangement sécurisé,Forziere di stoccaggio sicuro,鍵付き保管チェスト,보안 물품 보관 상자,Bezpieczna skrzynia na rzeczy,Baú de Armazenamento Seguro,Сундук для хранения с кодовым замком,Emniyetli Saklama Sandığı,安全储物箱,安全儲物箱,Cofre de almacenamiento seguro
cntStorageChest_PickedUp,blocks,Container,,,Storage Chest,,Aufbewahrungstruhe,Cofre de almacenamiento,Coffre de rangement,Forziere portaoggetti,保管チェスト,보관용 상자,Skrzynia na rzeczy,Baú de Armazenamento,Сундук для хранения,Saklama Sandığı,储物箱,儲物箱,Cofre de almacenamiento
cntDeskSafeInsecure_PickedUp,blocks,Container,,,Desk Safe,,Tischtresor,Caja fuerte de escritorio,Coffre de bureau,Mini cassaforte,手提げ金庫,책상용 금고,Sejf biurkowy,Escrivaninha Segura,Настольный сейф,Sıra Kasası,台式保险箱,書桌保險箱,Caja fuerte de escritorio
cntWallSafeInsecure_PickedUp,blocks,Container,,,Wall Safe,,Wandtresor,Caja fuerte empotrable,Coffre-fort mural,Cassaforte a muro,壁金庫,붙박이 금고,Sejf ścienny,Cofre de parede,Настенный сейф,Duvar Kasası,墙面保险箱,壁掛保險櫃,Caja fuerte empotrable
cntHardenedChestInsecure_PickedUp,blocks,Container,,,Hardened Chest,,Befestigte Truhe,Cofre curtido,Coffre solidifié,Forziere robusto,固くなったチェスト,튼튼한 상자,Utwardzona skrzynia,Baú Resistente,Прочный сундук,Sert Sandık,坚硬的箱子,硬化箱子,Cofre curtido
cntLootChestHeroInsecureT1_PickedUp,blocks,block,,,Wood Crate,,Holztruhe,Caja de madera,Caisse en bois,Forziere di legno,木材クレート,목재 상자,Drewno – skrzynia,Caixote de madeira,Деревянный сундук,Ahşap Sandık,木箱,木箱,Caja de madera
cntLootChestHeroInsecureT2_PickedUp,blocks,block,,,Leather Trunk,,Leder-Kofferraum,Cofre de cuero,Malle en cuir,Tronco di pelle,革のトランク,가죽 트렁크,Skóra – kufer,Baú de couro,Кожаный кофр,Deri Gövde,皮箱,皮箱,Cofre de cuero
cntLootChestHeroInsecure_PickedUp,blocks,Container,,,Reinforced Chest,,Verstärkte Truhe,Cofre reforzado,Coffre renforcé,Forziere rinforzato,補強チェスト,강화형 상자,Wzmocniona skrzynia,Baú Reforçado,Укрепленный сундук,Güçlendirilmiş Sandık,加固箱子,加強箱,Cofre reforzado
cntStorageGenericInsecure_PickedUp,blocks,Container,,,Storage Box,,Aufbewahrungskiste,Caja de almacenamiento,Caisse de rangement,Scatola portaoggetti,保管ボックス,보관함,Pudło na rzeczy,Caixa de Armazenamento,Коробка для хранения,Saklama Kutusu,储物盒,儲物盒,Caja de almacenamiento
cntBarrelPlasticSingle00_PickedUp,blocks,Block,,,Plastic Barrel,,Kunststoff-Fass,Barril de plástico,Baril en plastique,Barile di plastica,プラスチックの樽,플라스틱 통,Plastikowa beczka,Barril de plástico,Пластиковая бочка,Plastik Varil,塑料桶,塑料桶,Barril de plástico
cntBarrelPlasticSingle45_PickedUp,blocks,Block,,,Plastic Barrel,,Kunststoff-Fass,Barril de plástico,Baril en plastique,Barile di plastica,プラスチックの樽,플라스틱 통,Plastikowa beczka,Barril de plástico,Пластиковая бочка,Plastik Varil,塑料桶,塑料桶,Barril de plástico
cntBarrelPlasticQuadA_PickedUp,blocks,Block,,,Plastic Barrel,,Kunststoff-Fass,Barril de plástico,Baril en plastique,Barile di plastica,プラスチックの樽,플라스틱 통,Plastikowa beczka,Barril de plástico,Пластиковая бочка,Plastik Varil,塑料桶,塑料桶,Barril de plástico
cntBarrelPlasticQuadB_PickedUp,blocks,Block,,,Plastic Barrel,,Kunststoff-Fass,Barril de plástico,Baril en plastique,Barile di plastica,プラスチックの樽,플라스틱 통,Plastikowa beczka,Barril de plástico,Пластиковая бочка,Plastik Varil,塑料桶,塑料桶,Barril de plástico
wineBarrelPlayer_PickedUp,blocks,Block,,,Wine Barrel,,Weinfass,Barril de vino,Fût de vin,Barile di vino,ワイン樽,와인 통,Beczka na wino,Barril de vinho,Винная бочка,Şarap Fıçısı,酒桶,酒桶,Barril de vino
wineBarrelPlainPlayer_PickedUp,blocks,Block,,,"Wine Barrel, Plain",,"Weinfass, einfach","Barril de vino, sin tratar","Fût de vin, simple",Barile di vino verticale,ワイン樽・無地,와인 통 (민무늬),Beczka na wino — goła,Barril de vinho de pé,Простая винная бочка,"Şarap Fıçısı, Düz",酒桶-普通,普通酒桶,"Barril de vino, sin tratar"
wineBarrel_PickedUp,blocks,Block,,,Wine Barrel,,Weinfass,Barril de vino,Fût de vin,Barile di vino,ワイン樽,와인 통,Beczka na wino,Barril de vinho,Винная бочка,Şarap Fıçısı,酒桶,酒桶,Barril de vino
wineBarrelPlain_PickedUp,blocks,Block,,,"Wine Barrel, Plain",,"Weinfass, einfach","Barril de vino, sin tratar","Fût de vin, simple",Barile di vino verticale,ワイン樽・無地,와인 통 (민무늬),Beczka na wino — goła,Barril de vinho de pé,Простая винная бочка,"Şarap Fıçısı, Düz",酒桶-普通,普通酒桶,"Barril de vino, sin tratar"
cntGunSafeInsecure_PickedUp,blocks,Container,,,Gun Safe,,Waffenschrank,Caja fuerte de armas,Armoire à fusils,Cassaforte per armi,ガンロッカー,총기류 보관함,Sejf na broń,Cofre de Armas,Оружейный сейф,Silah Kasası,枪支保险柜,槍械保險櫃,Caja fuerte de armas
wineBarrelSet_PickedUp,blocks,Block,,,Wine Barrel Set,,"Weinfässer, Stapel",Conjunto de barriles de vino,Ensemble de fûts de vin,Set di barili di vino,ワイン樽セット,와인 통 세트,Beczka na wino — zestaw,Conjunto de barril de vinho,Набор винных бочек,Şarap Fıçısı Seti,酒桶套装,一套酒桶,Conjunto de barriles de vino
wineBarrelSetPlayer_PickedUp,blocks,Block,,,Wine Barrel Set,,"Weinfässer, Stapel",Conjunto de barriles de vino,Ensemble de fûts de vin,Set di barili di vino,ワイン樽セット,와인 통 세트,Beczka na wino — zestaw,Conjunto de barril de vinho,Набор винных бочек,Şarap Fıçısı Seti,酒桶套装,一套酒桶,Conjunto de barriles de vino
cntCoffeeMakerCommercial_PickedUp,blocks,Container,,,Commercial Coffee Maker,,Handelsüblicher Kaffeeautomat,Cafetera comercial,Cafetière industrielle,Macchina del caffè da bar,業務用コーヒーメーカー,상업용 커피 메이커,Kawiarka komercyjna,Cafeteira Industrial,Профессиональная кофемашина,Ticari Kahve Makinesi,商用咖啡机,商用咖啡機,Cafetera comercial
cntSodaFountain_PickedUp,blocks,Container,,,Soda Fountain,,Getränkespender,Fuente de refrescos,Fontaine à soda,Distributore di bevande,ソーダファウンテン,소다 분수,Saturator,Fonte de Refrigerante,Фонтан газировки,Gazlı İçecek Çeşmesi,饮料机,冷飲櫃,Fuente de refrescos
cntBackpack03_PickedUp,blocks,Container,,,Moldy Backpack,,Muffiger Rucksack,Mochila mohosa,Sac à dos moisi,Zaino ammuffito,カビの生えたバックパック,곰팡이가 핀 백팩,Zapleśniały plecak,Mochila Mofada,Заплесневелый рюкзак,Küflenmiş Sırt Çantası,发霉的背包,發黴的背包,Mochila mohosa
cntDuffle01_PickedUp,blocks,Container,,,Duffle Bag,,Tasche,Bolso de viaje,Sac de marin,Borsone,ダッフルバッグ,더플 백,Worek marynarski,Bolsa de Viagem,Спортивная сумка,Silindir Çanta,行李袋,行李袋,Bolso de viaje
cntSportsBag01_PickedUp,blocks,Container,,,Rotting Sports Bag,,Verrottende Sporttasche,Bolsa deportiva podrida,Sac de sport en décomposition,Borsa sportiva putrefatta,腐りかけのスポーツバッグ,헤진 스포츠 가방,Gnijąca torba sportowa,Bolsa Esportiva Podre,Истлевшая спортивная сумка,Çürümüş Spor Çanta,腐烂的运动包,腐爛的運動包,Bolsa deportiva podrida
cntSportsBag02_PickedUp,blocks,Container,,,Weathered Sports Bag,,Verwitterte Sporttasche,Bolsa deportiva erosionada,Sac de sport usé,Borsa sportiva consumata,色褪せたスポーツバッグ,오래된 스포츠 가방,Zszargana torba sportowa,Bolsa Esportiva Desgastada,Потрепанная спортивная сумка,Yıpranmış Spor Çanta,风化的运动包,褪色的運動包,Bolsa deportiva erosionada
cntPurse01_PickedUp,blocks,Container,,,Purse,,Handtasche,Bolso,Sac à main,Borsetta,パース,지갑,Portmonetka,Bolsa,Кошелек,Cüzdan,钱包,錢包,Bolso
cntNewsDispenseFreeGreen_PickedUp,blocks,Block,,,Free Newspaper Dispenser,,Gratis Zeitungsspender,Expendedor de diarios gratis,Distributeur de journaux gratuits,Distributore giornale gratuito,無料の新聞紙置き,무료 신문 자판기,Podajnik darmowych gazet,Dispensador de jornal grátis,Бесплатный газетный автомат,Ücretsiz Gazete Makinesi,免费报纸拿取处,免費報紙分發機,Expendedor de diarios gratis
cntNewsDispenseFreeOrange_PickedUp,blocks,Block,,,Free Newspaper Dispenser,,Gratis Zeitungsspender,Expendedor de diarios gratis,Distributeur de journaux gratuits,Distributore giornale gratuito,無料の新聞紙置き,무료 신문 자판기,Podajnik darmowych gazet,Dispensador de jornal grátis,Бесплатный газетный автомат,Ücretsiz Gazete Makinesi,免费报纸拿取处,免費報紙分發機,Expendedor de diarios gratis
cntNewspaperDispenserStandBlue_PickedUp,blocks,Block,,,Newspaper Dispenser,,Zeitungsspender,Expendedor de diarios,Distributeur de journaux,Distributore giornale,新聞紙販売機,신문 자판기,Podajnik gazet,Dispensador de jornal,Газетный автомат,Gazete Makinesi,报纸拿取处,報紙分發機,Expendedor de diarios
cntNewspaperDispenserStandYellow_PickedUp,blocks,Block,,,Newspaper Dispenser,,Zeitungsspender,Expendedor de diarios,Distributeur de journaux,Distributore giornale,新聞紙販売機,신문 자판기,Podajnik gazet,Dispensador de jornal,Газетный автомат,Gazete Makinesi,报纸拿取处,報紙分發機,Expendedor de diarios
cntFridgeStainlessSteel_PickedUp,blocks,Container,,,"Refrigerator, Stainless Steel",,"Kühlschrank, Edelstahl","Nevera, acero inoxidable","Réfrigérateur, acier inoxydable",Frigorifero di acciaio inossidabile,ステンレス製冷蔵庫,냉장고 (스테인리스 스틸),"Lodówka, stal nierdzewna",Geladeira de Aço Inoxidável,Большой холодильник из нержавеющей стали,"Buzdolabı, Paslanmaz Çelik",冰箱-不锈钢,不鏽鋼冰箱,"Nevera, acero inoxidable"
cntWasherIndustrialClosed_PickedUp,blocks,Block,,,Industrial Washing Machine,,Industrielle Waschmaschine,Lavadora industrial,Machine à laver industrielle,Lavatrice industriale,業務用洗濯機,산업용 세탁기,Pralka przemysłowa,Máquina de lavar industrial,Промышленная стиральная машина,Endüstriyel Çamaşır Makinesi,工业洗衣机,工業洗衣機,Lavadora industrial
cntChemPileLarge_PickedUp,blocks,block,,,Large Chemistry Set,,Großes Chemieset,Equipo de química grande,Grand ensemble de chimie,Assortimento chimico grande,化学実験用品一式（大）,대형 화학 세트,Duży zestaw do chemii,Conjunto de química grande,Большой химический набор,Büyük Kimya Seti,大化学套装,化學套組（大）,Equipo de química grande
cntChemPileMedium_PickedUp,blocks,block,,,Medium Chemistry Set,,Mittelgroßes Chemieset,Equipo de química mediano,Ensemble de chimie moyen,Assortimento chimico medio,化学実験用品一式（中）,중형 화학 세트,Średni zestaw do chemii,Conjunto de química médio,Средний химический набор,Orta Kimya Seti,中化学套装,化學套組（中）,Equipo de química mediano
lblCategoryDecorMisc,UI,Tooltip,,,Miscellaneous,,Verschiedenes,Varios,Divers,Varie,その他,장식/기타,Różne,Diversos,Разное,Muhtelif,其他,雜項,Varios
lanternDecorLight,blocks,Light,,,Lantern,,Laterne,Farol,Lanterne,Lanterna,ランタン,랜턴,Lampa naftowa,Lanterna,Фонарь,Fener,提灯,燈籠,Farol
flashlightDecor,blocks,Light,,,Flashlight,,Taschenlampe,Linterna,Lampe de poche,Torcia elettrica,フラッシュライト,손전등,Latarka,Lanterna,Фонарик,El Feneri,手电筒,手電筒,Linterna
buffDysentery01GetBetterDesc,buffs,Buff,,,You feel sick to your stomach and have diarrhea. Your symptoms are reduced by medicine.\n\nDiarrhea affects your stamina regeneration and periodically reduces\nWater 7.5%\nFood 2.5%\nAll water and food consumed beyond the regular cap is lost.,,"Dir ist übel und du hast Durchfall. Deine Symptome werden durch Medizin vermindert.\n\nDurchfall wird in Abständen weniger\nWasser 7,5 %\nNahrung 2,5 %\nAlles Wasser und Essen, das du über die Höchstmenge hinaus zu dir nimmst, geht verloren.","Te duele la barriga y tienes diarrea. La medicina reduce los síntomas.\n\nLa diarrea disminuye con el tiempo\nAgua: 7,5 %\nComida: 2,5 %\nToda la comida que consumas por encima de la tasa normal se pierde.","Vous avez envie de vomir et la diarrhée. Vos symptômes sont atténués par des médicaments.\n\nLa diarrhée réduit régulièrement votre\neau de 7,5 % et votre\nnourriture de 2,5 %\nToute eau ou nourriture consommée au-delà de la limite standard est perdue.","Hai la nausea e la diarrea. I medicinali riducono i tuoi sintomi.\n\nLa diarrea riduce periodicamente\nacqua 7,5%\ncibo 2,5%.\nTutta l'acqua e il cibo consumati oltre la capacità massima vanno persi.",胃がむかむかして下痢の症状もあります。症状は医薬品によって緩和されます。\n\n下痢は定期的に軽減\n体内水分7.5%\n空腹度2.5%\nを低下させ、通常の限界を超えて摂取した水や食料はすべて失われます。,복통과 함께 설사가 발생합니다. 약을 복용하여 증상을 완화할 수 있습니다.\n\n설사로 인해 다음 자원이 주기적으로 감소합니다.\n물 7.5%\n음식 2.5%\n일반 한도 이상으로 소비된 물과 음식은 사라집니다.,"Czujesz, jakby ktoś borował ci w brzuchu, i masz rozwolnienie. Leki ograniczyły objawy.\n\nRozwolnienie na zostało zahamowane na jakiś czas\nWoda 7,5%\nŻywność 2,5%\nZjedzona żywność i wypita woda powyżej standardowego górnego limitu przepada.","Você está com dor de estômago e diarreia. O medicamento reduz os sintomas.\n\nA diarreia reduz periodicamente\n7,5% da água e\n2,5% da comida.\nPerde toda a água e comida consumidas acima do limite normal.","У вас болит живот и началась диарея. Вы приняли лекарство, и симптомы утихли.\n\nДиарея периодически снижает\nводу на 7,5%\nи еду на 2,5%.\nВся вода и еда, поглощенные сверх обычной отметки, потеряны.","Miden bulanıyor ve ishal oldun. Semptomların, ilaç içtiğinde hafifleyebilir.\n\nİshal, düzenli olarak\n%7,5 Su\n%2,5 Yemek tüketir\nNormal üst sınırın üzerinde tüketilen tüm yiyecekler ve su kaybedilir.",你感到肠胃不适，且腹泻。药物让你的症状减轻。\n\n腹泻间歇性减缓\n水7.5%\n食物2.5%\n超出常规上限的所有水和食物都会流失。,你會感到腸胃不適，並伴有腹瀉。服用藥物可緩解症狀。\n\n腹瀉頻率減少\n水分 7.5%\n食物2.5%\n所有超出常規值上限攝入的水和食物都會流失。,"Te duele la barriga y tienes diarrea. La medicina reduce los síntomas.\n\nLa diarrea disminuye con el tiempo\nAgua: 7,5 %\nComida: 2,5 %\nToda la comida que consumas por encima de la tasa normal se pierde."
quest_buried_supplies_response,Quest,Quest Info,,,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Buried Supplies,,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Vergrabene Vorräte,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Suministros enterrados,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Provisions enterrées,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Provviste sepolte,[c0e6bc]{treasure.distance} {treasure.direction}[-] - 隠された補給品,[c0e6bc]{treasure.distance} {treasure.direction}[-] - 땅에 묻힌 보급품,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Zakopane zapasy,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Suprimentos enterrados,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Закопанные припасы,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Gömülü Malzemeler,[c0e6bc]{treasure.distance} {treasure.direction}[-] - 埋藏的补给,[c0e6bc]{treasure.distance} {treasure.direction}[-] - 埋藏的物品,[c0e6bc]{treasure.distance} {treasure.direction}[-] - Suministros enterrados
quest_fetch_response,Quest,Quest Info,,,[c0e6bc]{poi.distance} {poi.direction}[-] - Fetch ([71bfb6]{poi.name}[-]),,[c0e6bc]{poi.distance} {poi.direction}[-] - Abholen ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Busca ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Récupération ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Recupero ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 回収 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 가지고 오기 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Transport ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Buscar ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Принести ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Getirme ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 获取（[DECEA3]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - 取回（[71bfb6]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - Busca ([71bfb6]{poi.name}[-])
quest_clear_response,Quest,Quest Info,,,[c0e6bc]{poi.distance} {poi.direction}[-] - Clear Zombies ([71bfb6]{poi.name}[-]),,[c0e6bc]{poi.distance} {poi.direction}[-] - Beseitige Zombies ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Elimina a los zombis ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Élimination des zombies ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Elimina gli zombie ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - ゾンビを一掃する ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 좀비 해치우기 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Pozbądź się zombie ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Mate os zumbis ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Очистить от зомби ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Zombileri Temizle ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 清理丧尸（[DECEA3]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - 消滅殭屍（[71bfb6]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - Elimina a los zombis ([71bfb6]{poi.name}[-])
quest_fetch_clear_response,Quest,Quest Info,,,[c0e6bc]{poi.distance} {poi.direction}[-] - Fetch / Clear ([71bfb6]{poi.name}[-]),,[c0e6bc]{poi.distance} {poi.direction}[-] - Abholen/Säubern ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Busca/limpia ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Récupération / Élimination ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Recupero/Eliminazione ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 回収 / 一掃 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 가지고 오기 / 소탕하기 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Transport / eliminacja ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Buscar / Limpar ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Принести/очистить ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Getirme / Temizleme ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 获取/清理（[DECEA3]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - 取回 / 消滅（[71bfb6]{poi.name}[-]）,[c0e6bc]{poi.distance} {poi.direction}[-] - Busca/limpia ([71bfb6]{poi.name}[-])
quest_restore_power_response,Quest,Quest Info,,,[c0e6bc]{poi.distance} {poi.direction}[-] - Restore Power ([71bfb6]{poi.name}[-]),,[c0e6bc]{poi.distance} {poi.direction}[-] - Stromzufuhr wiederherstellen ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Restaura la potencia ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Rétablir l'alimentation ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Riattiva la corrente ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 電源を復旧させよ ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 전원 복구 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Przywróć zasilanie ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Restaurar energia ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Восстановите питание ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Enerji Sağla ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 恢复电力([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - 恢復電力 ([71bfb6]{poi.name}[-]),[c0e6bc]{poi.distance} {poi.direction}[-] - Restaura la potencia ([71bfb6]{poi.name}[-])
