Key,english,french,spanish,german,polish,brazilian,russian,turkish,tchinese
FuriousRamsayPerkThugRangedStunAuraRank7Desc,Aura Level 7 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Aura Niveau 7 ([I]Progrès[/I] : [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Aura Nivel 7 ([I]Progreso[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Aura Level 7 ([I]Fortschritt[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Poziom aury 7 ([I]Postęp[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Aura Nível 7 ([I]Progresso[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Уровень ауры 7 ([I]Прогресс[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-]),Aura Seviye 7 ([I]İlerleme[/I]: [75d181]{cvar($varFurousRamsayThug7Perc:0)}%[-]),光環等級 7 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug7Perc:0)}%[-])
FuriousRamsayPerkThugRangedStunAuraRank7LongDesc,At [aceefc][U]LEVEL 7[/U][-]:\n • You have a [f6f792]15%[-] base chance to stun targets in a [90c8d1]1.75[-]m area of effect for [9acc8f]15[-] seconds,"Au [aceefc][U]NIVEAU 7[/U][-] :\n • Vous avez [f6f792]15 %[-] de chances de base d'étourdir les cibles dans une zone d'effet de [90c8d1]1,75[-] m pendant [9acc8f]15[-] secondes",En [aceefc][U]NIVEL 7[/U][-]:\n • Tienes un [f6f792]15%[-] de probabilidad base de aturdir a los objetivos en un área de efecto de [90c8d1]1.75[-]m durante [9acc8f]15[-] segundos,"Auf Stufe 7: • Du hast eine Basischance von 15 %, Ziele in einem Wirkungsbereich von 1,75 m für 15 Sekunden zu betäuben.","Na [aceefc][U]POZIOMIE 7[/U][-]:\n • Masz [f6f792]15%[-] szansy bazowej na ogłuszenie celów w obszarze działania [90c8d1]1,75[-]m na [9acc8f]15[-] sekund","No [aceefc][U]NÍVEL 7[/U][-]:\n • Você tem uma chance base de [f6f792]15%[-] de atordoar alvos em uma área de efeito de [90c8d1]1,75[-]m por [9acc8f]15[-] segundos","На [aceefc][U]УРОВНЕ 7[/U][-]:\n • У вас есть [f6f792]15%[-] базовый шанс оглушить цели в области действия [90c8d1]1,75[-] м на [9acc8f]15[-] секунд","[aceefc][U]SEVİYE 7[/U][-]'de:\n • [90c8d1]1,75[-]m etki alanındaki hedefleri [9acc8f]15[-] saniye boyunca sersemletmek için [f6f792]%15[-] temel şansınız var",在[aceefc][U]等級 7[/U][-]：\n • 你有[f6f792]15%[-]的基礎機率在[90c8d1]1.75[-]m範圍內暈眩目標[9acc8f]15[-]秒
FuriousRamsayPerkThugRangedStunAuraRank8Desc,Aura Level 8 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Aura Niveau 8 ([I]Progrès[/I] : [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Nivel de aura 8 ([I]Progreso[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Aura Stufe 8 ([I]Fortschritt[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Poziom aury 8 ([I]Postęp[/I]: [75k181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Nível de Aura 8 ([I]Progresso[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Уровень ауры 8 ([I]Прогресс[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),Aura Seviyesi 8 ([I]İlerleme[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-]),光環等級 8 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug8Perc:0)}%[-])
FuriousRamsayPerkThugRangedStunAuraRank8LongDesc,At [aceefc][U]LEVEL 8[/U][-]:\n • You have a [f6f792]15%[-] base chance to stun targets in a [90c8d1]2[-]m area of effect for [9acc8f]15[-] seconds,Au [aceefc][U]NIVEAU 8[/U][-] :\n • Vous avez [f6f792]15 %[-] de chances de base d'étourdir les cibles dans une zone d'effet de [90c8d1]2[-] m pendant [9acc8f]15[-] secondes,En [aceefc][U]NIVEL 8[/U][-]:\n • Tienes un [f6f792]15%[-] de probabilidad base de aturdir a los objetivos en un área de efecto de [90c8d1]2[-]m durante [9acc8f]15[-] segundos,"Auf Stufe 8: • Du hast eine Basischance von 15 %, Ziele in einem Wirkungsbereich von 2 m für 15 Sekunden zu betäuben.",Na [aceefc][U]POZIOMIE 8[/U][-]:\n • Masz [f6f792]15%[-] szansy bazowej na ogłuszenie celów w obszarze działania [90c8d1]2[-]m na [9acc8f]15[-] sekund,No [aceefc][U]NÍVEL 8[/U][-]:\n • Você tem uma chance base de [f6f792]15%[-] de atordoar alvos em uma área de efeito de [90c8d1]2[-]m por [9acc8f]15[-] segundos,На [aceefc][U]УРОВНЕ 8[/U][-]:\n • У вас есть [f6f792]15%[-] базовый шанс оглушить цели в области действия [90c8d1]2[-]м на [9acc8f]15[-] секунд,[aceefc][U]SEVİYE 8[/U][-]'de:\n • [90c8d1]2[-]m etki alanındaki hedefleri [9acc8f]15[-] saniye boyunca sersemletmek için [f6f792]%15[-] temel şansınız var,在[aceefc][U]等級 8[/U][-]：\n • 你有[f6f792]15%[-]的基礎機率在[90c8d1]2[-]m範圍內暈眩目標[9acc8f]15[-]秒
FuriousRamsayPerkThugRangedStunAuraRank9Desc,Aura Level 9 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Aura Niveau 9 ([I]Progrès[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Nivel de aura 9 ([I]Progreso[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Aura Stufe 9 ([I]Fortschritt[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Poziom aury 9 ([I]Postęp[/I]: [75k181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Nível de Aura 9 ([I]Progresso[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Уровень ауры 9 ([I]Прогресс[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),Aura Seviyesi 9 ([I]İlerleme[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-]),光環等級 9 ([I]Progress[/I]: [75d181]{cvar($varFuriousRamsayThug9Perc:0)}%[-])
FuriousRamsayPerkThugRangedStunAuraRank9LongDesc,At [aceefc][U]LEVEL 9[/U][-]:\n • You have a [f6f792]15%[-] base chance to stun targets in a [90c8d1]2.25[-]m area of effect for [9acc8f]15[-] seconds,"Au [aceefc][U]NIVEAU 9[/U][-] :\n • Vous avez [f6f792]15 %[-] de chances de base d'étourdir les cibles dans une zone d'effet de [90c8d1]2,25[-] m pendant [9acc8f]15[-] secondes","En [aceefc][U]NIVEL 9[/U][-]:\n • Tienes un [f6f792]15%[-] de probabilidad base de aturdir a los objetivos en un área de efecto de [90c8d1]2,25[-]m durante [9acc8f]15[-] segundos","Auf Stufe 9: • Du hast eine Basischance von 15 %, Ziele in einem Wirkungsbereich von 2,25 m für 15 Sekunden zu betäuben.","Na [aceefc][U]POZIOMIE 9[/U][-]:\n • Masz [f6f792]15%[-] szansy bazowej na ogłuszenie celów w obszarze działania [90c8d1]2,25[-]m na [9acc8f]15[-] sekund","No [aceefc][U]NÍVEL 9[/U][-]:\n • Você tem uma chance base de [f6f792]15%[-] de atordoar alvos em uma área de efeito de [90c8d1]2,25[-]m por [9acc8f]15[-] segundos","На [aceefc][U]УРОВНЕ 9[/U][-]:\n • У вас есть [f6f792]15%[-] базовый шанс оглушить цели в области действия [90c8d1]2,25[-] м на [9acc8f]15[-] секунд","[aceefc][U]SEVİYE 9[/U][-]'da:\n • [90c8d1]2,25[-]m etki alanındaki hedefleri [9acc8f]15[-] saniye boyunca sersemletmek için [f6f792]%15[-] temel şansınız var",在[aceefc][U]等級 9[/U][-]：\n • 你有[f6f792]15%[-]的基礎機率在[90c8d1]2.25[-]m範圍內暈眩目標[9acc8f]15[-]秒
FuriousRamsayPerkTradeAuraBlueprint,Trade Aura Blueprint,Plan d'Aura de l'escroc,Plano del aura comercial,Handelsaura-Blaupause,Plan Aury Handlowej,Projeto de Aura de Comércio,План торговой ауры,Ticaret Aura Planı,交易光環藍圖
FuriousRamsayPerkTradeAuraBlueprintDesc,This blueprint is used to craft the [3430a1]TRADE AURA[-] mod.\n\nUse the Research Table to make this and other blueprints.\n\nThe [3430a1]TRADE AURA[-] section in the Global Achievements Tab explains the benefits of this mod as well as the leveling requirements.,Ce plan est utilisé pour fabriquer le mod [3430a1]AURA DE L'ESCROC[-].\n\nUtilisez la table de recherche pour fabriquer ce plan et d'autres.\n\nLa section [3430a1]AURA DE L'ESCROC[-] de l'onglet Succès Mondiaux explique les avantages de ce mod ainsi que les prérequis de mise à niveau.,"Este plano se utiliza para crear el mod [3430a1]AURA DE COMERCIO[-].\n\nUtiliza la Tabla de investigación para crear este y otros planos.\n\nLa sección [3430a1]AURA DE COMERCIO[-] en la Pestaña Logros Globales explica los beneficios de este mod, así como los requisitos para subir de nivel.","Diese Blaupause wird verwendet, um die Modifikation [3430a1]TRADE AURA[-] herzustellen.\n\nBenutze den Forschungstisch, um diese und andere Blaupausen herzustellen.\n\nDer Abschnitt [3430a1]TRADE AURA[-] im Reiter „Globale Erfolge“ erklärt die Vorteile dieser Modifikation sowie die Levelvoraussetzungen.","Ten projekt służy do stworzenia moda [3430a1]AURA HANDLOWA[-].\n\nUżyj tabeli badawczej, aby stworzyć ten i inne projekty.\n\nSekcja [3430a1]AURA HANDLOWA[-] w zakładce Osiągnięcia globalne wyjaśnia zalety tego moda, a także wymagania dotyczące poziomowania.","Este projeto é usado para fabricar o mod [3430a1]TRADE AURA[-].\n\nUse a Mesa de Pesquisa para criar este e outros projetos.\n\nA seção [3430a1]TRADE AURA[-] na aba Conquistas Globais explica os benefícios deste mod, bem como os requisitos de nível.","Этот чертеж используется для создания мода [3430a1]TRADE AURA[-].\n\nИспользуйте таблицу исследований для создания этого и других чертежей.\n\nВ разделе [3430a1]TRADE AURA[-] на вкладке «Глобальные достижения» объясняются преимущества этого мода, а также требования к уровню.","Bu plan, [3430a1]TİCARET AURASI[-] modunu oluşturmak için kullanılır.\n\nBu ve diğer planları oluşturmak için Araştırma Tablosunu kullanın.\n\nKüresel Başarılar Sekmesindeki [3430a1]TİCARET AURASI[-] bölümü, bu modun avantajlarını ve seviye atlama gereksinimlerini açıklar.",此藍圖用於製作[3430a1]交易光環[-]模組。\n\n使用研究台的研究標籤來製作。\n\n需要藍圖紙和鑽石。
FuriousRamsayPerkTradeAuraMod,Trade Aura Mod,Mod Aura de l'escroc,Mod de Aura Comercial,Handelsaura-Modifikation,Modyfikacja Trade Aura,Modificação de Aura de Troca,Торговая Аура Мод,Ticaret Aura Modu,交易光環模組
FuriousRamsayPerkTradeAuraModDesc,"Improve your [3430a1]trade[-] with the [3430a1]TRADE AURA[-] mod\n\nInstall in any armor mod slot.\n\n[cfad51]Note[-]: Upon completing a level objective, remove and re-equip the armor this mod is installed in for the new effect to become active.\n\nCrafted in the Forge.","Améliorez votre [3430a1]commerce[-] avec le mod [3430a1]AURA DE L'ESCROC[-]\n\nInstallez-le dans n'importe quel emplacement de mod d'armure.\n\n[cfad51]Remarque[-] : une fois un objectif de niveau terminé, retirez et rééquipez l'armure dans laquelle ce mod est installé pour que le nouvel effet devienne actif.\n\nFabriqué dans la forge.","Mejora tu [3430a1]comercio[-] con el mod [3430a1]AURA DE COMERCIO[-]\n\nInstálalo en cualquier ranura de mod de armadura.\n\n[cfad51]Nota[-]: Al completar un objetivo de nivel, quita y vuelve a equipar la armadura en la que está instalado este mod para que se active el nuevo efecto.\n\nFabricado en la Forja.","Verbessere deinen Handel mit der Mod „HANDELSAURA“. Installiere sie in einem beliebigen Rüstungsmod-Slot. Hinweis: Nach Abschluss eines Levelziels musst du die Rüstung, in der diese Mod installiert ist, entfernen und wieder anlegen, damit der neue Effekt aktiv wird. Hergestellt in der Schmiede.","Ulepsz swój [3430a1]handel[-] za pomocą moda [3430a1]TRADE AURA[-]\n\nZainstaluj w dowolnym slocie moda pancerza.\n\n[cfad51]Uwaga[-]: Po wypełnieniu celu poziomu zdejmij i ponownie załóż pancerz, w którym zainstalowano ten mod, aby nowy efekt stał się aktywny.\n\nWykonano w kuźni.","Aprimore suas [3430a1]comércio[-] com o mod [3430a1]AURA DE COMÉRCIO[-]\n\nInstale em qualquer espaço de mod de armadura.\n\n[cfad51]Nota[-]: Ao concluir um objetivo de nível, remova e equipe novamente a armadura na qual este mod está instalado para que o novo efeito seja ativado.\n\nCriado na Forja.","Улучшите свою [3430a1]торговлю[-] с помощью мода [3430a1]TRADE AURA[-]\n\nУстановите в любой слот мода брони.\n\n[cfad51]Примечание[-]: После выполнения задания уровня снимите и снова наденьте броню, в которой установлен этот мод, чтобы новый эффект стал активным.\n\nСоздается в Кузнице.","[3430a1]TİCARET[-] yeteneğinizi [3430a1]TİCARET AURASI[-] moduyla geliştirin. Herhangi bir zırh modu yuvasına takın.\n\n[cfad51]Not[-]: Bir seviye hedefini tamamladığınızda, yeni etkinin etkinleşmesi için bu modun kurulu olduğu zırhı çıkarıp tekrar kuşanın.\n\nForge'da üretilmiştir.",用[3430a1]交易光環[-]模組提升你的交易。\n\n安裝到任何護甲模組槽中。\n\n在全域成就頁面查看每個等級的好處。
FuriousRamsayPerkVitalityAuraBlueprint,Vitality Aura Blueprint,Plan de l'aura de vitalité,Plano del aura de vitalidad,Vitalitäts-Aura-Blaupause,Projekt Aury Witalności,Projeto de Aura da Vitalidade,План ауры жизненной силы,Canlılık Aura Planı,活力光環藍圖
FuriousRamsayPerkVitalityAuraBlueprintDesc,This blueprint is used to craft the [781c16]VITALITY AURA[-] mod.\n\nUse the Research Table to make this and other blueprints.\n\nThe [781c16]VITALITY AURA[-] section in the Global Achievements Tab explains the benefits of this mod as well as the leveling requirements.,Ce plan est utilisé pour fabriquer le mod [781c16]AURA DE VITALITE[-].\n\nUtilisez la table de recherche pour fabriquer ce plan et d'autres.\n\nLa section [781c16]AURA DE VITALITE[-] de l'onglet Succès Mondiaux explique les avantages de ce mod ainsi que les prérequis de mise à niveau.,"Este plano se utiliza para crear el mod [781c16]VITALITY AURA[-].\n\nUtiliza la Tabla de investigación para crear este y otros planos.\n\nLa sección [781c16]VITALITY AURA[-] en la Pestaña Logros Globales explica los beneficios de este mod, así como los requisitos para subir de nivel.","Diese Blaupause dient zur Herstellung der Modifikation [781c16]VITALITÄTSAURA[-].\n\nVerwenden Sie den Forschungstisch, um diese und andere Blaupausen herzustellen.\n\nDer Abschnitt [781c16]VITALITÄTSAURA[-] im Reiter „Globale Erfolge“ erklärt die Vorteile dieser Modifikation sowie die Levelvoraussetzungen.","Ten projekt służy do stworzenia moda [781c16]VITALITY AURA[-].\n\nUżyj tabeli badawczej, aby stworzyć ten i inne projekty.\n\nSekcja [781c16]VITALITY AURA[-] w zakładce Globalne osiągnięcia wyjaśnia zalety tego moda, a także wymagania dotyczące poziomowania.","Este projeto é usado para criar o mod [781c16]AURA DE VITALIDADE[-].\n\nUse a Mesa de Pesquisa para criar este e outros projetos.\n\nA seção [781c16]AURA DE VITALIDADE[-] na aba Conquistas Globais explica os benefícios deste mod, bem como os requisitos para subir de nível.","Этот чертеж используется для создания мода [781c16]VITALITY AURA[-].\n\nИспользуйте таблицу исследований для создания этого и других чертежей.\n\nВ разделе [781c16]VITALITY AURA[-] на вкладке «Глобальные достижения» объясняются преимущества этого мода, а также требования к уровню.","Bu plan, [781c16]VITALITY AURA[-] modunu oluşturmak için kullanılır.\n\nBu ve diğer planları oluşturmak için Araştırma Tablosunu kullanın.\n\nKüresel Başarılar Sekmesindeki [781c16]VITALITY AURA[-] bölümü, bu modun avantajlarını ve seviye atlama gereksinimlerini açıklar.",此藍圖用於製作[781c16]活力光環[-]模組。\n\n使用研究台的研究標籤來製作。\n\n需要藍圖紙和鑽石。
FuriousRamsayPerkVitalityAuraMod,Vitality Aura Mod,Aura de vitalité,Mod de aura de vitalidad,Vitalitätsaura-Modifikation,Mod Aura witalności,Mod de Aura de Vitalidade,Мод Ауры Жизнеспособности,Canlılık Aura Modu,活力光環模組
FuriousRamsayPerkVitalityAuraModDesc,"Improve your [781c16]vitality[-] with the [781c16]VITALITY AURA[-] mod\n\nInstall in any armor mod slot.\n\n[cfad51]Note[-]: Upon completing a level objective, remove and re-equip the armor this mod is installed in for the new effect to become active.\n\nCrafted in the Forge.","Améliorez votre [781c16]vitalité[-] avec le mod [781c16]AURA DE VITALITE[-]\n\nInstallez-le dans n'importe quel emplacement de mod d'armure.\n\n[cfad51]Remarque[-] : après avoir terminé un objectif de niveau, retirez et rééquipez l'armure dans laquelle ce mod est installé pour que le nouvel effet devienne actif.\n\nFabriqué dans la forge.","Mejora tu [781c16]vitalidad[-] con el mod [781c16]AURA DE VITALIDAD[-]\n\nInstálalo en cualquier ranura de mod de armadura.\n\n[cfad51]Nota[-]: Al completar un objetivo de nivel, quita y vuelve a equipar la armadura en la que está instalado este mod para que se active el nuevo efecto.\n\nFabricado en la Forja.","Verbessere deine Vitalität mit der Vitalitäts-Aura-Modifikation.\n\nInstalliere sie in einem beliebigen Rüstungsmodifikationsplatz.\n\nHinweis: Nach Abschluss eines Levelziels musst du die Rüstung, in der diese Modifikation installiert ist, ablegen und wieder anlegen, damit der neue Effekt aktiv wird.\n\nHergestellt in der Schmiede.","Popraw swoją [781c16]witalność[-] za pomocą moda [781c16]WITALITY AURA[-]\n\nZainstaluj w dowolnym slocie moda pancerza.\n\n[cfad51]Uwaga[-]: Po wypełnieniu celu poziomu zdejmij i ponownie załóż pancerz, w którym zainstalowano ten mod, aby nowy efekt stał się aktywny.\n\nWykonano w kuźni.","Aprimore sua [781c16]vitalidade[-] com o mod [781c16]AURA DE VITALIDADE[-]\n\nInstale em qualquer espaço de mod de armadura.\n\n[cfad51]Nota[-]: Ao concluir um objetivo de nível, remova e equipe novamente a armadura na qual este mod está instalado para que o novo efeito seja ativado.\n\nCriado na Forja.","Повысьте свою [781c16]жизненную силу[-] с помощью мода [781c16]VITALITY AURA[-]\n\nУстановите в любой слот мода брони.\n\n[cfad51]Примечание[-]: После выполнения задания уровня снимите и снова наденьте броню, в которой установлен этот мод, чтобы новый эффект стал активным.\n\nСоздается в Кузнице.","[781c16]CANLILIK AURASI[-] moduyla [781c16]canlılığınızı[-] geliştirin.\n\nHerhangi bir zırh modu yuvasına takın.\n\n[cfad51]Not[-]: Bir seviye hedefini tamamladıktan sonra, yeni etkinin etkinleşmesi için bu modun takılı olduğu zırhı çıkarıp tekrar kuşanın.\n\nForge'da üretilmiştir.",用[781c16]活力光環[-]模組提升你的活力。\n\n安裝到任何護甲模組槽中。\n\n在全域成就頁面查看每個等級的好處。
FuriousRamsayPetMechanicalBear,Baby Mechanical Bear Pet,Ourson mécanique de compagnie,Oso mecánico bebé mascota,Mechanisches Baby-Bären-Haustier,Mechaniczny Miś dla Dzieci,Urso Mecânico Bebê de Estimação,Механический медведь-питомец,Bebek Mekanik Ayı Evcil Hayvanı,幼型機械熊寵物
FuriousRamsayPetMechanicalBearDesc,Chest containing a single baby Mechanical Bear Pet with 350 life that regenerates 1 life every 3 seconds.\n\nNew pets can only be placed once every 3 real-time hours or if you kill a pet yourself to replace it.,Coffre contenant un seul Ourson mécanique avec 350 points de vie qui régénère 1 point de vie toutes les 3 secondes.\n\nLes nouveaux animaux de compagnie ne peuvent être placés qu'une fois toutes les 3 heures en temps réel ou si vous tuez vous-même un animal de compagnie pour le remplacer.,Cofre que contiene una sola mascota oso mecánico bebé con 350 vidas que regenera 1 vida cada 3 segundos.\n\nSolo se pueden colocar nuevas mascotas una vez cada 3 horas en tiempo real o si matas a una mascota tú mismo para reemplazarla.,"Truhe mit einem einzelnen mechanischen Bärenbaby als Haustier mit 350 Lebenspunkten, das alle 3 Sekunden 1 Lebenspunkt regeneriert.\n\nNeue Haustiere können nur einmal alle 3 Echtzeitstunden platziert werden oder wenn man ein Haustier selbst tötet, um es zu ersetzen.","Skrzynia zawierająca jednego małego mechanicznego misia z 350 punktami życia, który regeneruje 1 punkt życia co 3 sekundy.\n\nNowe zwierzęta można umieszczać tylko raz na 3 godziny czasu rzeczywistego lub jeśli sam zabijesz zwierzę, aby je zastąpić.",Baú contendo um único Urso Mecânico de Estimação bebê com 350 de vida que regenera 1 de vida a cada 3 segundos.\n\nNovos animais de estimação só podem ser colocados uma vez a cada 3 horas em tempo real ou se você matar um animal de estimação para substituí-lo.,"Сундук, содержащий одного детеныша — механического медведя с 350 ед. жизни, который восстанавливает 1 ед. жизни каждые 3 секунды.\n\nНовых питомцев можно добавлять только один раз каждые 3 часа реального времени или если вы сами убьете питомца, чтобы заменить его.",350 cana sahip ve her 3 saniyede 1 can yenileyen tek bir Mekanik Ayı Evcil Hayvanı yavrusu içeren sandık.\n\nYeni evcil hayvanlar yalnızca her 3 gerçek zamanlı saatte bir veya kendiniz bir evcil hayvanı öldürüp yenisini koymanız durumunda yerleştirilebilir.,包含一隻擁有350點生命值的幼型機械熊寵物，每3秒回復1點生命值。\n\n新寵物只能每3個現實小時放置一次，或者你自己殺死寵物來替換。
FuriousRamsayPetMechanicalBoar,Baby Mechanical Boar Pet,Marcassin mécanique,Jabalí mecánico bebé mascota,Mechanisches Baby-Eber-Haustier,Mechaniczny Dzik w kształcie dzika,Porquinho mecânico de estimação para bebês,Детеныш механического кабана,Bebek Mekanik Domuz Evcil Hayvanı,幼型機械野豬寵物
FuriousRamsayPetMechanicalBoarDesc,Chest containing a single baby Mechanical Boar Pet with 200 life that regenerates 1 life every 3 seconds.\n\nNew pets can only be placed once every 3 real-time hours or if you kill a pet yourself to replace it.,Coffre contenant un seul Marcassin mécanique avec 200 points de vie qui régénère 1 point de vie toutes les 3 secondes.\n\nLes nouveaux animaux de compagnie ne peuvent être placés qu'une fois toutes les 3 heures en temps réel ou si vous tuez vous-même un animal de compagnie pour le remplacer.,Cofre que contiene una sola mascota bebé jabalí mecánico con 200 vidas que regenera 1 vida cada 3 segundos.\n\nSolo se pueden colocar nuevas mascotas una vez cada 3 horas en tiempo real o si matas a una mascota tú mismo para reemplazarla.,"Truhe mit einem einzelnen mechanischen Wildschweinbaby als Haustier mit 200 Lebenspunkten, das alle 3 Sekunden 1 Lebenspunkt regeneriert.\n\nNeue Haustiere können nur einmal alle 3 Echtzeitstunden platziert werden oder wenn man ein Haustier selbst tötet, um es zu ersetzen.","Skrzynia zawierająca jednego małego mechanicznego dzika z 200 punktami życia, który regeneruje 1 punkt życia co 3 sekundy.\n\nNowe zwierzęta można umieszczać tylko raz na 3 godziny czasu rzeczywistego lub jeśli sam zabijesz zwierzę, aby je zastąpić.",Baú contendo um único filhote de Javali Mecânico de estimação com 200 de vida que regenera 1 de vida a cada 3 segundos.\n\nNovos animais de estimação só podem ser colocados uma vez a cada 3 horas em tempo real ou se você matar um animal de estimação para substituí-lo.,"Сундук, содержащий одного детеныша механического кабана с 200 ед. жизни, который восстанавливает 1 ед. жизни каждые 3 секунды.\n\nНовых питомцев можно размещать только один раз каждые 3 часа реального времени или если вы сами убьете питомца, чтобы заменить его.",200 cana sahip ve her 3 saniyede 1 can yenileyen tek bir Mekanik Yaban Domuzu yavrusu içeren sandık.\n\nYeni evcil hayvanlar yalnızca her 3 gerçek zamanlı saatte bir veya kendiniz bir evcil hayvanı öldürüp yenisini koymanız durumunda yerleştirilebilir.,包含一隻擁有200點生命值的幼型機械野豬寵物，每3秒回復1點生命值。\n\n新寵物只能每3個現實小時放置一次，或者你自己殺死寵物來替換。
FuriousRamsayPetMechanicalChicken,Baby Mechanical Chicken Pet,Poussin mécanique,Pollo mecánico bebé mascota,Mechanisches Babyhuhn als Haustier,Mechaniczny kurczak w kształcie zwierzątka,Galinha Mecânica Bebê de Estimação,Механический цыпленок-питомец,Bebek Mekanik Tavuk Evcil Hayvanı,幼型機械雞寵物
FuriousRamsayPetMechanicalChickenDesc,Chest containing a single baby Mechanical Rabbit Pet with 80 life that regenerates 1 life every 3 seconds.\n\nNew pets can only be placed once every 3 real-time hours or if you kill a pet yourself to replace it.,Coffre contenant un seul Lapereau mécanique avec 80 points de vie qui régénère 1 point de vie toutes les 3 secondes.\n\nLes nouveaux animaux de compagnie ne peuvent être placés qu'une fois toutes les 3 heures en temps réel ou si vous tuez vous-même un animal de compagnie pour le remplacer.,Cofre que contiene una sola mascota conejo mecánico bebé con 80 vidas que regenera 1 vida cada 3 segundos.\n\nSolo se pueden colocar nuevas mascotas una vez cada 3 horas en tiempo real o si matas a una mascota tú mismo para reemplazarla.,"Truhe mit einem einzelnen mechanischen Kaninchenbaby mit 80 Lebenspunkten, das alle 3 Sekunden 1 Lebenspunkt regeneriert.\n\nNeue Haustiere können nur einmal alle 3 Echtzeitstunden platziert werden oder wenn man ein Haustier selbst tötet, um es zu ersetzen.","Skrzynia zawierająca jednego małego mechanicznego królika z 80 punktami życia, który regeneruje 1 punkt życia co 3 sekundy.\n\nNowe zwierzaki można umieszczać tylko raz na 3 godziny czasu rzeczywistego lub jeśli sam zabijesz zwierzaka, aby go zastąpić.",Baú contendo um único Coelho Mecânico de Estimação bebê com 80 de vida que regenera 1 de vida a cada 3 segundos.\n\nNovos animais de estimação só podem ser colocados uma vez a cada 3 horas em tempo real ou se você matar um animal de estimação para substituí-lo.,"Сундук, содержащий одного детеныша механического кролика с 80 жизней, который восстанавливает 1 ед. жизни каждые 3 секунды.\n\nНовых питомцев можно добавлять только один раз каждые 3 часа реального времени или если вы сами убьете питомца, чтобы заменить его.",80 cana sahip ve her 3 saniyede 1 can yenileyen tek bir Mekanik Tavşan Evcil Hayvanı içeren sandık.\n\nYeni evcil hayvanlar yalnızca her 3 gerçek zamanlı saatte bir veya kendiniz bir evcil hayvanı öldürüp yenisini koymanız durumunda yerleştirilebilir.,包含一隻擁有80點生命值的幼型機械兔子寵物，每3秒回復1點生命值。\n\n新寵物只能每3個現實小時放置一次，或者你自己殺死寵物來替換。
FuriousRamsayPetMechanicalCoyote,Baby Mechanical Coyote Pet,Bébé coyote mécanique,Mascota coyote mecánica bebé,Mechanisches Baby-Kojote-Haustier,Mechaniczny kojot-zwierzak,Coiote Mecânico Bebê de Estimação,Механический питомец-койот,Bebek Mekanik Çakal Evcil Hayvanı,幼型機械土狼寵物
